순위,관광지ID,관심지점명,구분,연령대,비율
1,f4b4f749a6cdfd734d4512c18b227d6a,태종대,관광명소,30,42.5
2,3c084e342c5c7955c27bd07463731102,국립해양박물관,문화생활시설,30,31.8
3,7ac5723b1829ec4e00a71780ebea6c82,피아크,문화생활시설,30,5.9
4,b9772199f0e3db266edf35f0520d616e,아르떼뮤지엄부산,문화생활시설,30,5.2
5,b2cd6fdc324c7e59e23f4249c1077c9d,태종대전망대,관광명소,30,4.2
6,9ef97bf6a998d70b5492874b32608b80,태종대온천,관광명소,30,3.6
7,6bd4baec3a9c1c2b8eb1dbf6a2f574e9,청학배수지전망대,관광명소,30,2.5
8,ab19d1fc66e0c6847f43994c2793a926,청학수변공원,관광명소,30,1.6
9,893192c6c5056f78ebcc5d3f526cb22a,영도조내기고구마역사기념관,문화생활시설,30,1.4
10,0c1a47ade1be14680bd038ceaab9d8e9,영도마린축구장,레저/스포츠,30,1.4
